PC=0000000000000000, REG[ 1]=0000000000000002
PC=0000000000000004, REG[ 2]=0000000000000000
PC=0000000000000008, REG[ 3]=0000000000000004
PC=000000000000000c, REG[ 4]=0000000000000006
PC=0000000000000010, REG[ 5]=0000000000000008
PC=0000000000000014, ---
PC=0000000000000018, REG[ 6]=0000000000000002
PC=000000000000001c, REG[ 7]=0000000000000004
PC=0000000000000020, REG[ 8]=0000000000000018
PC=0000000000000024, REG[ 9]=0000000000000006
PC=0000000000000028, REG[11]=000000000000000c
PC=000000000000002c, REG[ 8]=0000000000000030
PC=0000000000000030, REG[ 3]=0000000000000000
PC=0000000000000034, REG[ 5]=0000000000000000
PC=0000000000000038, REG[ 6]=0000000000000000
PC=000000000000003c, REG[ 8]=0000000000000004
PC=0000000000000040, REG[ 7]=0000000000000000
PC=0000000000000044, REG[ 2]=0000000000000002
PC=0000000000000048, REG[ 3]=0000000000000000
PC=000000000000004c, REG[ 2]=0000000000000004
PC=0000000000000050, REG[ 2]=0000000000000008
PC=0000000000000054, REG[ 2]=0000000000000040
PC=0000000000000058, REG[ 2]=0000000000000080
PC=000000000000005c, REG[ 2]=0000000000004000
PC=0000000000000060, REG[ 2]=0000000000008000
PC=0000000000000064, ---
PC=0000000000000068, ---
PC=000000000000006c, REG[ 3]=0000000000008002
PC=0000000000000070, ---
