                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
    0:    4:-       |   0:-       |   0:-       |   0:-       |   0:-       
    1:    4:-       |   4:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    2:    4:-       |   4:-       |   4:-       |   0:-       |   0:-       
    3:    4:-       |   4:-       |   4:-       |   4:-       |   0:-       
    4:    4:-       |   4:-       |   4:-       |   4:-       |   4:-       
    5:    4:-       |   4:-       |   4:-       |   4:-       |   4:-       
    6:    4:lda     |   4:-       |   4:-       |   4:-       |   4:-       
    7:    8:-       |   4:lda     |   4:-       |   4:-       |   4:-       
    8:    8:-       |   8:-       |   4:lda     |   4:-       |   4:-       
    9:    8:-       |   8:-       |   8:-       |   4:lda     |   4:-       
   10:    8:-       |   8:-       |   8:-       |   8:-       |   4:lda     r5=0  
   11:    8:lda     |   8:-       |   8:-       |   8:-       |   8:-       
   12:   12:-       |   8:lda     |   8:-       |   8:-       |   8:-       
   13:   12:-       |  12:-       |   8:lda     |   8:-       |   8:-       BUS_LOAD  MEM[8] accepted 1
   14:   12:-       |  12:-       |  12:-       |   8:lda     |   8:-       
   15:   12:-       |  12:-       |  12:-       |  12:-       |   8:lda     r1=4096  
   16:   12:-       |  12:-       |  12:-       |  12:-       |  12:-       
   17:   12:-       |  12:-       |  12:-       |  12:-       |  12:-       
   18:   12:mulq    |  12:-       |  12:-       |  12:-       |  12:-       
   19:   16:-       |  12:mulq    |  12:-       |  12:-       |  12:-       
   20:   16:-       |  16:-       |  12:mulq    |  12:-       |  12:-       
   21:   16:-       |  16:-       |  16:-       |  12:mulq    |  12:-       
   22:   16:-       |  16:-       |  16:-       |  16:-       |  12:mulq    r2=0  
   23:   16:stq     |  16:-       |  16:-       |  16:-       |  16:-       
   24:   20:-       |  16:stq     |  16:-       |  16:-       |  16:-       
   25:   20:-       |  20:-       |  16:stq     |  16:-       |  16:-       BUS_LOAD  MEM[16] accepted 1
   26:   20:-       |  20:-       |  20:-       |  16:stq     |  16:-       BUS_STORE MEM[4096] = 0 accepted 2
   27:   20:-       |  20:-       |  20:-       |  20:-       |  16:stq     
   28:   20:-       |  20:-       |  20:-       |  20:-       |  20:-       
   29:   20:-       |  20:-       |  20:-       |  20:-       |  20:-       
   30:   20:ldq     |  20:-       |  20:-       |  20:-       |  20:-       
   31:   24:-       |  20:ldq     |  20:-       |  20:-       |  20:-       
   32:   24:-       |  24:-       |  20:ldq     |  20:-       |  20:-       
   33:   24:-       |  24:-       |  24:-       |  20:ldq     |  20:-       BUS_LOAD  MEM[4096] accepted 1
   34:   24:-       |  24:-       |  24:-       |  20:ldq     |  20:-       
   35:   24:-       |  24:-       |  24:-       |  20:ldq     |  20:-       
   36:   24:-       |  24:-       |  24:-       |  20:ldq     |  20:-       
   37:   24:-       |  24:-       |  24:-       |  20:ldq     |  20:-       
   38:   24:-       |  24:-       |  24:-       |  24:-       |  20:ldq     r3=0  
   39:   24:stq     |  24:-       |  24:-       |  24:-       |  24:-       
   40:   28:-       |  24:stq     |  24:-       |  24:-       |  24:-       
   41:   28:-       |  28:-       |  24:stq     |  24:-       |  24:-       BUS_LOAD  MEM[24] accepted 1
   42:   28:-       |  28:-       |  28:-       |  24:stq     |  24:-       BUS_STORE MEM[4352] = 0 accepted 2
   43:   28:-       |  28:-       |  28:-       |  28:-       |  24:stq     
   44:   28:-       |  28:-       |  28:-       |  28:-       |  28:-       
   45:   28:-       |  28:-       |  28:-       |  28:-       |  28:-       
   46:   28:addq    |  28:-       |  28:-       |  28:-       |  28:-       
   47:   32:-       |  28:addq    |  28:-       |  28:-       |  28:-       
   48:   32:-       |  32:-       |  28:addq    |  28:-       |  28:-       
   49:   32:-       |  32:-       |  32:-       |  28:addq    |  28:-       
   50:   32:-       |  32:-       |  32:-       |  32:-       |  28:addq    r1=4104  
   51:   32:addq    |  32:-       |  32:-       |  32:-       |  32:-       
   52:   36:-       |  32:addq    |  32:-       |  32:-       |  32:-       
   53:   36:-       |  36:-       |  32:addq    |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
   54:   36:-       |  36:-       |  36:-       |  32:addq    |  32:-       
   55:   36:-       |  36:-       |  36:-       |  36:-       |  32:addq    r5=1  
   56:   36:-       |  36:-       |  36:-       |  36:-       |  36:-       
