                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
    0:    4:-       |   0:-       |   0:-       |   0:-       |   0:-       
    1:    4:-       |   4:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    2:    4:-       |   4:-       |   4:-       |   0:-       |   0:-       
    3:    4:-       |   4:-       |   4:-       |   4:-       |   0:-       
    4:    4:-       |   4:-       |   4:-       |   4:-       |   4:-       
    5:    4:-       |   4:-       |   4:-       |   4:-       |   4:-       
    6:    4:br      |   4:-       |   4:-       |   4:-       |   4:-       
    7:    8:-       |   4:br      |   4:-       |   4:-       |   4:-       
    8:    8:-       |   8:-       |   4:br      |   4:-       |   4:-       
    9:    8:-       |   8:-       |   8:-       |   4:br      |   4:-       
   10:  140:-       |   8:-       |   8:-       |   8:-       |   4:br      
   11:  140:-       | 140:-       |   8:-       |   8:-       |   8:-       BUS_LOAD  MEM[136] accepted 1
   12:  140:-       | 140:-       | 140:-       |   8:-       |   8:-       
   13:  140:-       | 140:-       | 140:-       | 140:-       |   8:-       
   14:  140:-       | 140:-       | 140:-       | 140:-       | 140:-       
   15:  140:-       | 140:-       | 140:-       | 140:-       | 140:-       
   16:  140:lda     | 140:-       | 140:-       | 140:-       | 140:-       
   17:  144:-       | 140:lda     | 140:-       | 140:-       | 140:-       
   18:  144:-       | 144:-       | 140:lda     | 140:-       | 140:-       
   19:  144:-       | 144:-       | 144:-       | 140:lda     | 140:-       
   20:  144:-       | 144:-       | 144:-       | 144:-       | 140:lda     r5=1  
   21:  144:lda     | 144:-       | 144:-       | 144:-       | 144:-       
   22:  148:-       | 144:lda     | 144:-       | 144:-       | 144:-       
   23:  148:-       | 148:-       | 144:lda     | 144:-       | 144:-       BUS_LOAD  MEM[144] accepted 1
   24:  148:-       | 148:-       | 148:-       | 144:lda     | 144:-       
   25:  148:-       | 148:-       | 148:-       | 148:-       | 144:lda     r9=16  
   26:  148:-       | 148:-       | 148:-       | 148:-       | 148:-       
   27:  148:-       | 148:-       | 148:-       | 148:-       | 148:-       
   28:  148:ldq     | 148:-       | 148:-       | 148:-       | 148:-       
   29:  152:-       | 148:ldq     | 148:-       | 148:-       | 148:-       
   30:  152:-       | 152:-       | 148:ldq     | 148:-       | 148:-       
   31:  152:-       | 152:-       | 152:-       | 148:ldq     | 148:-       BUS_LOAD  MEM[16] accepted 1
   32:  152:-       | 152:-       | 152:-       | 148:ldq     | 148:-       
   33:  152:-       | 152:-       | 152:-       | 148:ldq     | 148:-       
   34:  152:-       | 152:-       | 152:-       | 148:ldq     | 148:-       
   35:  152:-       | 152:-       | 152:-       | 148:ldq     | 148:-       
   36:  152:-       | 152:-       | 152:-       | 152:-       | 148:ldq     r3=1  
   37:  152:bis     | 152:-       | 152:-       | 152:-       | 152:-       
   38:  156:-       | 152:bis     | 152:-       | 152:-       | 152:-       
   39:  156:-       | 156:-       | 152:bis     | 152:-       | 152:-       BUS_LOAD  MEM[152] accepted 1
   40:  156:-       | 156:-       | 156:-       | 152:bis     | 152:-       
   41:  156:-       | 156:-       | 156:-       | 156:-       | 152:bis     r6=1  
   42:  156:-       | 156:-       | 156:-       | 156:-       | 156:-       
   43:  156:-       | 156:-       | 156:-       | 156:-       | 156:-       
   44:  156:bis     | 156:-       | 156:-       | 156:-       | 156:-       
   45:  160:-       | 156:bis     | 156:-       | 156:-       | 156:-       
   46:  160:-       | 160:-       | 156:bis     | 156:-       | 156:-       
   47:  160:-       | 160:-       | 160:-       | 156:bis     | 156:-       
   48:  160:-       | 160:-       | 160:-       | 160:-       | 156:bis     r19=16  
   49:  160:subq    | 160:-       | 160:-       | 160:-       | 160:-       
   50:  164:-       | 160:subq    | 160:-       | 160:-       | 160:-       
   51:  164:-       | 164:-       | 160:subq    | 160:-       | 160:-       BUS_LOAD  MEM[160] accepted 1
   52:  164:-       | 164:-       | 164:-       | 160:subq    | 160:-       
   53:  164:-       | 164:-       | 164:-       | 164:-       | 160:subq    r18=8  
   54:  164:-       | 164:-       | 164:-       | 164:-       | 164:-       
   55:  164:-       | 164:-       | 164:-       | 164:-       | 164:-       
   56:  164:ldq     | 164:-       | 164:-       | 164:-       | 164:-       
   57:  168:-       | 164:ldq     | 164:-       | 164:-       | 164:-       
   58:  168:-       | 168:-       | 164:ldq     | 164:-       | 164:-       
