                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
    0:    4:-       |   0:-       |   0:-       |   0:-       |   0:-       
    1:    4:-       |   4:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    2:    4:-       |   4:-       |   4:-       |   0:-       |   0:-       
    3:    4:-       |   4:-       |   4:-       |   4:-       |   0:-       
    4:    4:-       |   4:-       |   4:-       |   4:-       |   4:-       
    5:    4:-       |   4:-       |   4:-       |   4:-       |   4:-       
    6:    4:lda     |   4:-       |   4:-       |   4:-       |   4:-       
    7:    8:-       |   4:lda     |   4:-       |   4:-       |   4:-       
    8:    8:-       |   8:-       |   4:lda     |   4:-       |   4:-       
    9:    8:-       |   8:-       |   8:-       |   4:lda     |   4:-       
   10:    8:-       |   8:-       |   8:-       |   8:-       |   4:lda     r0=4096  
   11:    8:br      |   8:-       |   8:-       |   8:-       |   8:-       
   12:   12:-       |   8:br      |   8:-       |   8:-       |   8:-       
   13:   12:-       |  12:-       |   8:br      |   8:-       |   8:-       BUS_LOAD  MEM[8] accepted 1
   14:   12:-       |  12:-       |  12:-       |   8:br      |   8:-       
   15:   28:-       |  12:-       |  12:-       |  12:-       |   8:br      r1=8  
   16:   28:-       |  28:-       |  12:-       |  12:-       |  12:-       BUS_LOAD  MEM[24] accepted 2
   17:   28:-       |  28:-       |  28:-       |  12:-       |  12:-       
   18:   28:-       |  28:-       |  28:-       |  28:-       |  12:-       
   19:   28:-       |  28:-       |  28:-       |  28:-       |  28:-       
   20:   28:-       |  28:-       |  28:-       |  28:-       |  28:-       
   21:   28:ldq     |  28:-       |  28:-       |  28:-       |  28:-       
   22:   32:-       |  28:ldq     |  28:-       |  28:-       |  28:-       
   23:   32:-       |  32:-       |  28:ldq     |  28:-       |  28:-       
   24:   32:-       |  32:-       |  32:-       |  28:ldq     |  28:-       BUS_LOAD  MEM[8] accepted 1
   25:   32:-       |  32:-       |  32:-       |  28:ldq     |  28:-       
   26:   32:-       |  32:-       |  32:-       |  28:ldq     |  28:-       
   27:   32:-       |  32:-       |  32:-       |  28:ldq     |  28:-       
   28:   32:-       |  32:-       |  32:-       |  28:ldq     |  28:-       
   29:   32:-       |  32:-       |  32:-       |  32:-       |  28:ldq     r2=0x27bb2ee687b0b0fd  
   30:   32:ldq     |  32:-       |  32:-       |  32:-       |  32:-       
   31:   36:-       |  32:ldq     |  32:-       |  32:-       |  32:-       
   32:   36:-       |  36:-       |  32:ldq     |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
   33:   36:-       |  36:-       |  36:-       |  32:ldq     |  32:-       BUS_LOAD  MEM[16] accepted 2
   34:   36:-       |  36:-       |  36:-       |  32:ldq     |  32:-       
   35:   36:-       |  36:-       |  36:-       |  32:ldq     |  32:-       
   36:   36:-       |  36:-       |  36:-       |  32:ldq     |  32:-       
   37:   36:-       |  36:-       |  36:-       |  32:ldq     |  32:-       
   38:   36:-       |  36:-       |  36:-       |  36:-       |  32:ldq     r3=-1257966803  
   39:   36:lda     |  36:-       |  36:-       |  36:-       |  36:-       
   40:   40:-       |  36:lda     |  36:-       |  36:-       |  36:-       
   41:   40:-       |  40:-       |  36:lda     |  36:-       |  36:-       
   42:   40:-       |  40:-       |  40:-       |  36:lda     |  36:-       
   43:   40:-       |  40:-       |  40:-       |  40:-       |  36:lda     r4=0  
   44:   40:addq    |  40:-       |  40:-       |  40:-       |  40:-       
   45:   44:-       |  40:addq    |  40:-       |  40:-       |  40:-       
   46:   44:-       |  44:-       |  40:addq    |  40:-       |  40:-       BUS_LOAD  MEM[40] accepted 1
   47:   44:-       |  44:-       |  44:-       |  40:addq    |  40:-       
   48:   44:-       |  44:-       |  44:-       |  44:-       |  40:addq    r4=1  
   49:   44:-       |  44:-       |  44:-       |  44:-       |  44:-       
   50:   44:-       |  44:-       |  44:-       |  44:-       |  44:-       
   51:   44:cmple   |  44:-       |  44:-       |  44:-       |  44:-       
   52:   48:-       |  44:cmple   |  44:-       |  44:-       |  44:-       
   53:   48:-       |  48:-       |  44:cmple   |  44:-       |  44:-       
   54:   48:-       |  48:-       |  48:-       |  44:cmple   |  44:-       
   55:   48:-       |  48:-       |  48:-       |  48:-       |  44:cmple   r5=1  
   56:   48:mulq    |  48:-       |  48:-       |  48:-       |  48:-       
