PC=0000000000000000, REG[ 1]=0000000000000001
PC=0000000000000004, REG[ 2]=000000000000000a
PC=0000000000000008, REG[ 3]=0000000000000002
PC=000000000000000c, REG[ 4]=0000000000000008
PC=0000000000000010, REG[ 4]=000000000000000a
PC=0000000000000014, REG[ 6]=0000000000000008
PC=0000000000000018, REG[ 2]=0000000000000009
PC=000000000000001c, REG[ 3]=0000000000000004
PC=0000000000000020, ---
PC=0000000000000018, REG[ 2]=0000000000000008
PC=000000000000001c, REG[ 3]=0000000000000010
PC=0000000000000020, ---
PC=0000000000000018, REG[ 2]=0000000000000007
PC=000000000000001c, REG[ 3]=0000000000000100
PC=0000000000000020, ---
PC=0000000000000018, REG[ 2]=0000000000000006
PC=000000000000001c, REG[ 3]=0000000000010000
PC=0000000000000020, ---
PC=0000000000000018, REG[ 2]=0000000000000005
PC=000000000000001c, REG[ 3]=0000000100000000
PC=0000000000000020, ---
PC=0000000000000018, REG[ 2]=0000000000000004
PC=000000000000001c, REG[ 3]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000018, REG[ 2]=0000000000000003
PC=000000000000001c, REG[ 3]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000018, REG[ 2]=0000000000000002
PC=000000000000001c, REG[ 3]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000018, REG[ 2]=0000000000000001
PC=000000000000001c, REG[ 3]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000018, REG[ 2]=0000000000000000
PC=000000000000001c, REG[ 3]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000024, REG[ 9]=0000000000000001
PC=0000000000000028, ---
