                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
    0:    4:-       |   0:-       |   0:-       |   0:-       |   0:-       
    1:    4:-       |   4:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    2:    4:-       |   4:-       |   4:-       |   0:-       |   0:-       
    3:    4:-       |   4:-       |   4:-       |   4:-       |   0:-       
    4:    4:-       |   4:-       |   4:-       |   4:-       |   4:-       
    5:    4:-       |   4:-       |   4:-       |   4:-       |   4:-       
    6:    4:br      |   4:-       |   4:-       |   4:-       |   4:-       
    7:    8:-       |   4:br      |   4:-       |   4:-       |   4:-       
    8:    8:-       |   8:-       |   4:br      |   4:-       |   4:-       
    9:    8:-       |   8:-       |   8:-       |   4:br      |   4:-       
   10:  300:-       |   8:-       |   8:-       |   8:-       |   4:br      
   11:  300:-       | 300:-       |   8:-       |   8:-       |   8:-       BUS_LOAD  MEM[296] accepted 1
   12:  300:-       | 300:-       | 300:-       |   8:-       |   8:-       
   13:  300:-       | 300:-       | 300:-       | 300:-       |   8:-       
   14:  300:-       | 300:-       | 300:-       | 300:-       | 300:-       
   15:  300:-       | 300:-       | 300:-       | 300:-       | 300:-       
   16:  300:lda     | 300:-       | 300:-       | 300:-       | 300:-       
   17:  304:-       | 300:lda     | 300:-       | 300:-       | 300:-       
   18:  304:-       | 304:-       | 300:lda     | 300:-       | 300:-       
   19:  304:-       | 304:-       | 304:-       | 300:lda     | 300:-       
   20:  304:-       | 304:-       | 304:-       | 304:-       | 300:lda     r5=0  
   21:  304:lda     | 304:-       | 304:-       | 304:-       | 304:-       
   22:  308:-       | 304:lda     | 304:-       | 304:-       | 304:-       
   23:  308:-       | 308:-       | 304:lda     | 304:-       | 304:-       BUS_LOAD  MEM[304] accepted 1
   24:  308:-       | 308:-       | 308:-       | 304:lda     | 304:-       
   25:  308:-       | 308:-       | 308:-       | 308:-       | 304:lda     r6=9999  
   26:  308:-       | 308:-       | 308:-       | 308:-       | 308:-       
   27:  308:-       | 308:-       | 308:-       | 308:-       | 308:-       
   28:  308:lda     | 308:-       | 308:-       | 308:-       | 308:-       
   29:  312:-       | 308:lda     | 308:-       | 308:-       | 308:-       
   30:  312:-       | 312:-       | 308:lda     | 308:-       | 308:-       
   31:  312:-       | 312:-       | 312:-       | 308:lda     | 308:-       
   32:  312:-       | 312:-       | 312:-       | 312:-       | 308:lda     r0=8  
   33:  312:lda     | 312:-       | 312:-       | 312:-       | 312:-       
   34:  316:-       | 312:lda     | 312:-       | 312:-       | 312:-       
   35:  316:-       | 316:-       | 312:lda     | 312:-       | 312:-       BUS_LOAD  MEM[312] accepted 1
   36:  316:-       | 316:-       | 316:-       | 312:lda     | 312:-       
   37:  316:-       | 316:-       | 316:-       | 316:-       | 312:lda     r1=152  
   38:  316:-       | 316:-       | 316:-       | 316:-       | 316:-       
   39:  316:-       | 316:-       | 316:-       | 316:-       | 316:-       
   40:  316:ldq     | 316:-       | 316:-       | 316:-       | 316:-       
   41:  320:-       | 316:ldq     | 316:-       | 316:-       | 316:-       
   42:  320:-       | 320:-       | 316:ldq     | 316:-       | 316:-       
   43:  320:-       | 320:-       | 320:-       | 316:ldq     | 316:-       BUS_LOAD  MEM[8] accepted 1
   44:  320:-       | 320:-       | 320:-       | 316:ldq     | 316:-       
   45:  320:-       | 320:-       | 320:-       | 316:ldq     | 316:-       
   46:  320:-       | 320:-       | 320:-       | 316:ldq     | 316:-       
   47:  320:-       | 320:-       | 320:-       | 316:ldq     | 316:-       
   48:  320:-       | 320:-       | 320:-       | 320:-       | 316:ldq     r2=3  
   49:  320:mulq    | 320:-       | 320:-       | 320:-       | 320:-       
   50:  324:-       | 320:mulq    | 320:-       | 320:-       | 320:-       
   51:  324:-       | 324:-       | 320:mulq    | 320:-       | 320:-       BUS_LOAD  MEM[320] accepted 1
   52:  324:-       | 324:-       | 324:-       | 320:mulq    | 320:-       
   53:  324:-       | 324:-       | 324:-       | 324:-       | 320:mulq    r2=29997  
   54:  324:-       | 324:-       | 324:-       | 324:-       | 324:-       
   55:  324:-       | 324:-       | 324:-       | 324:-       | 324:-       
   56:  324:ldq     | 324:-       | 324:-       | 324:-       | 324:-       
   57:  328:-       | 324:ldq     | 324:-       | 324:-       | 324:-       
