                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
    0:    4:-       |   0:-       |   0:-       |   0:-       |   0:-       
    1:    4:-       |   4:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    2:    4:-       |   4:-       |   4:-       |   0:-       |   0:-       
    3:    4:-       |   4:-       |   4:-       |   4:-       |   0:-       
    4:    4:-       |   4:-       |   4:-       |   4:-       |   4:-       
    5:    4:-       |   4:-       |   4:-       |   4:-       |   4:-       
    6:    4:lda     |   4:-       |   4:-       |   4:-       |   4:-       
    7:    8:-       |   4:lda     |   4:-       |   4:-       |   4:-       
    8:    8:-       |   8:-       |   4:lda     |   4:-       |   4:-       
    9:    8:-       |   8:-       |   8:-       |   4:lda     |   4:-       
   10:    8:-       |   8:-       |   8:-       |   8:-       |   4:lda     r30=4096  
   11:    8:lda     |   8:-       |   8:-       |   8:-       |   8:-       
   12:   12:-       |   8:lda     |   8:-       |   8:-       |   8:-       
   13:   12:-       |  12:-       |   8:lda     |   8:-       |   8:-       BUS_LOAD  MEM[8] accepted 1
   14:   12:-       |  12:-       |  12:-       |   8:lda     |   8:-       
   15:   12:-       |  12:-       |  12:-       |  12:-       |   8:lda     r16=4  
   16:   12:-       |  12:-       |  12:-       |  12:-       |  12:-       
   17:   12:-       |  12:-       |  12:-       |  12:-       |  12:-       
   18:   12:bsr     |  12:-       |  12:-       |  12:-       |  12:-       
   19:   16:-       |  12:bsr     |  12:-       |  12:-       |  12:-       
   20:   16:-       |  16:-       |  12:bsr     |  12:-       |  12:-       
   21:   16:-       |  16:-       |  16:-       |  12:bsr     |  12:-       
   22:   28:-       |  16:-       |  16:-       |  16:-       |  12:bsr     r26=12  
   23:   28:-       |  28:-       |  16:-       |  16:-       |  16:-       BUS_LOAD  MEM[24] accepted 1
   24:   28:-       |  28:-       |  28:-       |  16:-       |  16:-       
   25:   28:-       |  28:-       |  28:-       |  28:-       |  16:-       
   26:   28:-       |  28:-       |  28:-       |  28:-       |  28:-       
   27:   28:-       |  28:-       |  28:-       |  28:-       |  28:-       
   28:   28:beq     |  28:-       |  28:-       |  28:-       |  28:-       
   29:   32:-       |  28:beq     |  28:-       |  28:-       |  28:-       
   30:   32:-       |  32:-       |  28:beq     |  28:-       |  28:-       
   31:   32:-       |  32:-       |  32:-       |  28:beq     |  28:-       
   32:   32:-       |  32:-       |  32:-       |  32:-       |  28:beq     
   33:   32:cmpeq   |  32:-       |  32:-       |  32:-       |  32:-       
   34:   36:-       |  32:cmpeq   |  32:-       |  32:-       |  32:-       
   35:   36:-       |  36:-       |  32:cmpeq   |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
   36:   36:-       |  36:-       |  36:-       |  32:cmpeq   |  32:-       
   37:   36:-       |  36:-       |  36:-       |  36:-       |  32:cmpeq   r1=0  
   38:   36:-       |  36:-       |  36:-       |  36:-       |  36:-       
   39:   36:-       |  36:-       |  36:-       |  36:-       |  36:-       
   40:   36:bne     |  36:-       |  36:-       |  36:-       |  36:-       
   41:   40:-       |  36:bne     |  36:-       |  36:-       |  36:-       
   42:   40:-       |  40:-       |  36:bne     |  36:-       |  36:-       
   43:   40:-       |  40:-       |  40:-       |  36:bne     |  36:-       
   44:   40:-       |  40:-       |  40:-       |  40:-       |  36:bne     
   45:   40:subq    |  40:-       |  40:-       |  40:-       |  40:-       
   46:   44:-       |  40:subq    |  40:-       |  40:-       |  40:-       
   47:   44:-       |  44:-       |  40:subq    |  40:-       |  40:-       BUS_LOAD  MEM[40] accepted 1
   48:   44:-       |  44:-       |  44:-       |  40:subq    |  40:-       
   49:   44:-       |  44:-       |  44:-       |  44:-       |  40:subq    r30=4064  
   50:   44:-       |  44:-       |  44:-       |  44:-       |  44:-       
   51:   44:-       |  44:-       |  44:-       |  44:-       |  44:-       
   52:   44:stq     |  44:-       |  44:-       |  44:-       |  44:-       
   53:   48:-       |  44:stq     |  44:-       |  44:-       |  44:-       
   54:   48:-       |  48:-       |  44:stq     |  44:-       |  44:-       
   55:   48:-       |  48:-       |  48:-       |  44:stq     |  44:-       BUS_STORE MEM[4088] = 12 accepted 1
   56:   48:-       |  48:-       |  48:-       |  48:-       |  44:stq     
   57:   48:stq     |  48:-       |  48:-       |  48:-       |  48:-       
