PC=0000000000000000, REG[ 0]=0000000000000000
PC=0000000000000004, REG[ 1]=0000000000000008
PC=0000000000000008, REG[ 2]=0000000000000010
PC=000000000000000c, REG[ 3]=0000000000000018
PC=0000000000000010, REG[ 4]=0000000000000020
PC=0000000000000014, REG[ 5]=0000000000000028
PC=0000000000000018, REG[ 6]=0000000000000030
PC=000000000000001c, REG[ 7]=0000000000000038
PC=0000000000000020, REG[ 8]=0000000000000040
PC=0000000000000024, REG[ 9]=0000000000000008
PC=0000000000000028, REG[10]=0000000000000008
PC=000000000000002c, REG[29]=0000000000000001
PC=0000000000000030, REG[30]=0000000000000003
PC=0000000000000034, REG[30]=0000000000000002
PC=0000000000000038, REG[ 0]=0000000000000000
PC=000000000000003c, ---
PC=0000000000000040, REG[ 1]=0000000000000000
PC=0000000000000044, ---
PC=0000000000000048, REG[ 2]=0000000000000000
PC=000000000000004c, ---
PC=0000000000000050, REG[ 3]=0000000000000000
PC=0000000000000054, ---
PC=0000000000000058, REG[ 4]=0000000000000000
PC=000000000000005c, ---
PC=0000000000000060, REG[ 5]=0000000000000000
PC=0000000000000064, ---
PC=0000000000000068, REG[ 6]=0000000000000000
PC=000000000000006c, ---
PC=0000000000000070, REG[ 1]=0000000000000000
PC=0000000000000074, ---
PC=0000000000000078, REG[ 8]=0000000000000e00
PC=000000000000007c, ---
PC=0000000000000080, ---
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=000000000000008c, ---
PC=0000000000000090, ---
PC=0000000000000094, ---
PC=0000000000000098, ---
PC=000000000000009c, ---
PC=00000000000000a0, ---
PC=00000000000000a4, ---
PC=00000000000000a8, ---
PC=00000000000000ac, ---
PC=00000000000000b0, ---
PC=00000000000000b4, ---
PC=00000000000000b8, ---
PC=00000000000000bc, ---
PC=00000000000000c0, ---
PC=00000000000000c4, ---
PC=00000000000000c8, REG[ 3]=0000000000000000
PC=00000000000000cc, ---
PC=00000000000000d0, ---
PC=00000000000000d4, REG[ 3]=0000000000000000
PC=00000000000000d8, ---
PC=00000000000000dc, REG[ 8]=0000000000031000
PC=00000000000000e0, REG[ 8]=0000000000ab8000
PC=00000000000000e4, ---
PC=00000000000000e8, ---
PC=00000000000000ec, REG[ 2]=0000000000000000
PC=00000000000000f0, ---
PC=00000000000000f4, REG[ 3]=0000000000000000
PC=00000000000000f8, REG[ 3]=0000000000000000
PC=00000000000000fc, REG[ 3]=0000000000000000
PC=0000000000000100, ---
PC=0000000000000104, ---
PC=0000000000000108, ---
PC=000000000000010c, ---
PC=0000000000000110, ---
PC=0000000000000114, ---
PC=0000000000000118, ---
PC=000000000000011c, ---
PC=0000000000000120, ---
PC=0000000000000124, REG[ 3]=0000000000000000
PC=0000000000000128, ---
PC=0000000000000034, REG[30]=0000000000000001
PC=0000000000000038, REG[ 0]=0000000000000000
PC=000000000000003c, ---
PC=0000000000000040, REG[ 1]=0000000000000000
PC=0000000000000044, ---
PC=0000000000000048, REG[ 2]=0000000000000000
PC=000000000000004c, ---
PC=0000000000000050, REG[ 3]=0000000000000000
PC=0000000000000054, ---
PC=0000000000000058, REG[ 4]=0000000000000000
PC=000000000000005c, ---
PC=0000000000000060, REG[ 5]=0000000000000000
PC=0000000000000064, ---
PC=0000000000000068, REG[ 6]=0000000000000000
PC=000000000000006c, ---
PC=0000000000000070, REG[ 1]=0000000000000000
PC=0000000000000074, ---
PC=0000000000000078, REG[ 8]=0000000025840000
PC=000000000000007c, ---
PC=0000000000000080, ---
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=000000000000008c, ---
PC=0000000000000090, ---
PC=0000000000000094, ---
PC=0000000000000098, ---
PC=000000000000009c, ---
PC=00000000000000a0, ---
PC=00000000000000a4, ---
PC=00000000000000a8, ---
PC=00000000000000ac, ---
PC=00000000000000b0, ---
PC=00000000000000b4, ---
PC=00000000000000b8, ---
PC=00000000000000bc, ---
PC=00000000000000c0, ---
PC=00000000000000c4, ---
PC=00000000000000c8, REG[ 3]=0000000000000000
PC=00000000000000cc, ---
PC=00000000000000d0, ---
PC=00000000000000d4, REG[ 3]=0000000000000000
PC=00000000000000d8, ---
PC=00000000000000dc, REG[ 8]=0000000834e00000
PC=00000000000000e0, REG[ 8]=000001cb91000000
PC=00000000000000e4, ---
PC=00000000000000e8, ---
PC=00000000000000ec, REG[ 2]=0000000000000000
PC=00000000000000f0, ---
PC=00000000000000f4, REG[ 3]=0000000000000000
PC=00000000000000f8, REG[ 3]=0000000000000000
PC=00000000000000fc, REG[ 3]=0000000000000000
PC=0000000000000100, ---
PC=0000000000000104, ---
PC=0000000000000108, ---
PC=000000000000010c, ---
PC=0000000000000110, ---
PC=0000000000000114, ---
PC=0000000000000118, ---
PC=000000000000011c, ---
PC=0000000000000120, ---
PC=0000000000000124, REG[ 3]=0000000000000000
PC=0000000000000128, ---
PC=0000000000000034, REG[30]=0000000000000000
PC=0000000000000038, REG[ 0]=0000000000000000
PC=000000000000003c, ---
PC=0000000000000040, REG[ 1]=0000000000000000
PC=0000000000000044, ---
PC=0000000000000048, REG[ 2]=0000000000000000
PC=000000000000004c, ---
PC=0000000000000050, REG[ 3]=0000000000000000
PC=0000000000000054, ---
PC=0000000000000058, REG[ 4]=0000000000000000
PC=000000000000005c, ---
PC=0000000000000060, REG[ 5]=0000000000000000
PC=0000000000000064, ---
PC=0000000000000068, REG[ 6]=0000000000000000
PC=000000000000006c, ---
PC=0000000000000070, REG[ 1]=0000000000000000
PC=0000000000000074, ---
PC=0000000000000078, REG[ 8]=00006487b8000000
PC=000000000000007c, ---
PC=0000000000000080, ---
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=000000000000008c, ---
PC=0000000000000090, ---
PC=0000000000000094, ---
PC=0000000000000098, ---
PC=000000000000009c, ---
PC=00000000000000a0, ---
PC=00000000000000a4, ---
PC=00000000000000a8, ---
PC=00000000000000ac, ---
PC=00000000000000b0, ---
PC=00000000000000b4, ---
PC=00000000000000b8, ---
PC=00000000000000bc, ---
PC=00000000000000c0, ---
PC=00000000000000c4, ---
PC=00000000000000c8, REG[ 3]=0000000000000000
PC=00000000000000cc, ---
PC=00000000000000d0, ---
PC=00000000000000d4, REG[ 3]=0000000000000000
PC=00000000000000d8, ---
PC=00000000000000dc, REG[ 8]=0015fdb040000000
PC=00000000000000e0, REG[ 8]=04cf7e8e00000000
PC=00000000000000e4, ---
PC=00000000000000e8, ---
PC=00000000000000ec, REG[ 2]=0000000000000000
PC=00000000000000f0, ---
PC=00000000000000f4, REG[ 3]=0000000000000000
PC=00000000000000f8, REG[ 3]=0000000000000000
PC=00000000000000fc, REG[ 3]=0000000000000000
PC=0000000000000100, ---
PC=0000000000000104, ---
PC=0000000000000108, ---
PC=000000000000010c, ---
PC=0000000000000110, ---
PC=0000000000000114, ---
PC=0000000000000118, ---
PC=000000000000011c, ---
PC=0000000000000120, ---
PC=0000000000000124, REG[ 3]=0000000000000000
PC=0000000000000128, ---
PC=000000000000012c, ---
