PC=0000000000000000, REG[ 0]=0000000000000000
PC=0000000000000004, REG[ 1]=0000000000000008
PC=0000000000000008, REG[ 2]=0000000000000010
PC=000000000000000c, REG[ 3]=0000000000000018
PC=0000000000000010, REG[ 4]=0000000000000020
PC=0000000000000014, REG[ 5]=0000000000000028
PC=0000000000000018, REG[ 6]=0000000000000030
PC=000000000000001c, REG[ 7]=0000000000000038
PC=0000000000000020, REG[ 8]=0000000000000040
PC=0000000000000024, ---
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, ---
PC=0000000000000034, ---
PC=0000000000000038, ---
PC=000000000000003c, ---
PC=0000000000000040, ---
PC=0000000000000044, ---
PC=0000000000000048, ---
